tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_macro,f1_weighted,matthew
75,15,8,2,0.1,0.25,0.77,0.5106307583274273,0.8250177179305457,0.77,0.5166666666666667,0.77,0.5076000856347678,0.7951616356240634,0.026621743403250103
78,12,7,3,0.1,0.25,0.81,0.5588235294117647,0.8458823529411764,0.81,0.5833333333333334,0.81,0.5657142857142857,0.8262857142857143,0.140028008402801
72,18,5,5,0.1,0.25,0.77,0.5762281197063805,0.8632975719932241,0.77,0.65,0.77,0.5826528760660497,0.806350934494647,0.21386180543479086
71,19,2,8,0.1,0.25,0.79,0.6344495180111618,0.9049720953830542,0.79,0.7944444444444445,0.79,0.6517990383021057,0.8272923229978444,0.39793423394636396
71,19,10,0,0.1,0.25,0.71,0.4382716049382716,0.7888888888888889,0.71,0.39444444444444443,0.71,0.4152046783625731,0.7473684210526315,-0.16144070161261753
71,19,2,8,0.1,0.25,0.79,0.6344495180111618,0.9049720953830542,0.79,0.7944444444444445,0.79,0.6517990383021057,0.8272923229978444,0.39793423394636396
69,21,4,6,0.1,0.25,0.75,0.5837138508371384,0.8729071537290716,0.75,0.6833333333333333,0.75,0.585475045597745,0.7943956226164814,0.2477703720798115
74,16,9,1,0.1,0.25,0.75,0.47519489723600283,0.8082919914953933,0.75,0.4611111111111111,0.75,0.46478270177692144,0.7773496039391994,-0.06211740127425024
69,21,8,2,0.1,0.25,0.71,0.4915302089215132,0.8151891586674195,0.71,0.4833333333333334,0.71,0.4737797133006714,0.7558337869715116,-0.023762422826087874
71,19,10,0,0.1,0.25,0.71,0.4382716049382716,0.7888888888888889,0.71,0.39444444444444443,0.71,0.4152046783625731,0.7473684210526315,-0.16144070161261753
72,18,9,1,0.1,0.25,0.73,0.4707602339181286,0.8052631578947369,0.73,0.45,0.73,0.45553539019963707,0.7647912885662432,-0.07647191129018725
74,16,7,3,0.1,0.25,0.77,0.5357374918778427,0.8380116959064327,0.77,0.5611111111111111,0.77,0.5361968138737649,0.7996370235934666,0.09346566935467332
73,17,10,0,0.1,0.25,0.73,0.4397590361445783,0.791566265060241,0.73,0.40555555555555556,0.73,0.42196531791907516,0.7595375722543354,-0.1508565459517506
70,20,5,5,0.1,0.25,0.75,0.5666666666666667,0.86,0.75,0.6388888888888888,0.75,0.5670995670995671,0.7922077922077922,0.19245008972987526
70,20,5,5,0.1,0.25,0.75,0.5666666666666667,0.86,0.75,0.6388888888888888,0.75,0.5670995670995671,0.7922077922077922,0.19245008972987526
71,19,8,2,0.1,0.25,0.73,0.49698613622664256,0.8183845690174805,0.73,0.49444444444444446,0.73,0.4846344722275243,0.769116243557931,-0.008183810269003939
76,14,7,3,0.1,0.25,0.79,0.5460666194188518,0.8417434443656981,0.79,0.5722222222222222,0.79,0.550417469492614,0.8129736673089275,0.11536088808075046
69,21,10,0,0.1,0.25,0.69,0.43670886075949367,0.7860759493670887,0.69,0.38333333333333336,0.69,0.40828402366863903,0.7349112426035502,-0.1718600156490827
73,17,6,4,0.1,0.25,0.77,0.5572634116937915,0.8506931886678721,0.77,0.6055555555555556,0.77,0.5609849207864097,0.8033212445123116,0.15549239511107485
71,19,8,2,0.1,0.25,0.73,0.49698613622664256,0.8183845690174805,0.73,0.49444444444444446,0.73,0.4846344722275243,0.769116243557931,-0.008183810269003939
68,22,9,1,0.1,0.25,0.69,0.46329757199322413,0.7991530208921513,0.69,0.42777777777777776,0.69,0.43748865904554524,0.7389947377971331,-0.10297049891304745
75,15,6,4,0.1,0.25,0.79,0.5682261208576997,0.8543859649122807,0.79,0.6166666666666667,0.79,0.5765275257108288,0.817059891107078,0.1784344596771036
77,13,6,4,0.1,0.25,0.81,0.5815024805102764,0.8584691708008505,0.81,0.6277777777777778,0.81,0.5932348533504602,0.8307856989937913,0.2041000327582508
72,18,7,3,0.1,0.25,0.75,0.527124773960217,0.8345388788426763,0.75,0.55,0.75,0.522809696506967,0.7862187440351213,0.07365429242103545
70,20,9,1,0.1,0.25,0.71,0.46684749849306806,0.8022302591922845,0.71,0.4388888888888889,0.71,0.44645924794808167,0.7520137430807405,-0.09002191295904333
70,20,7,3,0.1,0.25,0.73,0.5197628458498024,0.8312252964426876,0.73,0.5388888888888889,0.73,0.5100707675557975,0.77267283614589,0.055445653260871704
70,20,9,1,0.1,0.25,0.71,0.46684749849306806,0.8022302591922845,0.71,0.4388888888888889,0.71,0.44645924794808167,0.7520137430807405,-0.09002191295904333
74,16,9,1,0.1,0.25,0.75,0.47519489723600283,0.8082919914953933,0.75,0.4611111111111111,0.75,0.46478270177692144,0.7773496039391994,-0.06211740127425024
69,21,8,2,0.1,0.25,0.71,0.4915302089215132,0.8151891586674195,0.71,0.4833333333333334,0.71,0.4737797133006714,0.7558337869715116,-0.023762422826087874
70,20,5,5,0.1,0.25,0.75,0.5666666666666667,0.86,0.75,0.6388888888888888,0.75,0.5670995670995671,0.7922077922077922,0.19245008972987526
69,21,8,2,0.1,0.25,0.71,0.4915302089215132,0.8151891586674195,0.71,0.4833333333333334,0.71,0.4737797133006714,0.7558337869715116,-0.023762422826087874
68,22,7,3,0.1,0.25,0.71,0.5133333333333333,0.828,0.71,0.5277777777777778,0.71,0.49783549783549785,0.758961038961039,0.03849001794597505
72,18,5,5,0.1,0.25,0.77,0.5762281197063805,0.8632975719932241,0.77,0.65,0.77,0.5826528760660497,0.806350934494647,0.21386180543479086
74,16,5,5,0.1,0.25,0.79,0.5874020494273658,0.8668474984930681,0.79,0.6611111111111111,0.79,0.5991601450658522,0.8204237449895018,0.23733049780111423
