tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_macro,f1_weighted,matthew
71,22,7,0,0.1,0.25,0.71,0.4551282051282051,0.8465384615384615,0.71,0.3817204301075269,0.71,0.4152046783625731,0.7722807017543859,-0.14570403697549603
72,17,8,3,0.1,0.25,0.75,0.525,0.8175000000000001,0.75,0.5408580183861083,0.75,0.522809696506967,0.7796335178469174,0.06392027721005931
71,20,9,0,0.1,0.25,0.71,0.44375,0.807625,0.71,0.3901098901098901,0.71,0.4152046783625731,0.755672514619883,-0.15724272550828777
72,15,8,5,0.1,0.25,0.77,0.575,0.8155,0.77,0.6061007957559682,0.77,0.5826528760660498,0.7895735801125022,0.17841031003501578
69,20,9,2,0.1,0.25,0.71,0.48776223776223776,0.7973076923076923,0.71,0.47854954034729313,0.71,0.4737797133006714,0.7487824351297405,-0.03240405068015653
74,15,8,3,0.1,0.25,0.77,0.5345528455284553,0.8215040650406503,0.77,0.552093973442288,0.77,0.5361968138737648,0.793051018350474,0.08485269629928871
69,16,13,2,0.1,0.25,0.71,0.4762872628726287,0.7319105691056911,0.71,0.4725490196078431,0.71,0.47377971330067137,0.7205770277626564,-0.05102696863141446
70,17,10,3,0.1,0.25,0.73,0.5125,0.78075,0.73,0.517683465959328,0.73,0.5100707675557975,0.7529776810016331,0.02973505167250263
75,20,5,0,0.1,0.25,0.75,0.46875,0.890625,0.75,0.39473684210526316,0.75,0.4285714285714286,0.8142857142857143,-0.11470786693528089
74,19,6,1,0.1,0.25,0.75,0.48750000000000004,0.86375,0.75,0.4692780337941628,0.75,0.4647827017769214,0.80079212160137,-0.03919309008348103
74,11,6,9,0.1,0.25,0.83,0.6875,0.85375,0.83,0.7352941176470589,0.83,0.7056277056277056,0.8395670995670997,0.42008402520840293
74,17,8,1,0.1,0.25,0.75,0.47899728997289975,0.826219512195122,0.75,0.4621489621489622,0.75,0.46478270177692144,0.7851637764932563,-0.05639057978812222
69,20,9,2,0.1,0.25,0.71,0.48776223776223776,0.7973076923076923,0.71,0.47854954034729313,0.71,0.4737797133006714,0.7487824351297405,-0.03240405068015653
76,19,4,1,0.1,0.25,0.77,0.5,0.905,0.77,0.5,0.77,0.4742857142857143,0.8291428571428571,0.0
76,17,4,3,0.1,0.25,0.79,0.5499999999999999,0.8939999999999999,0.79,0.6228878648233487,0.79,0.550417469492614,0.8326653821451511,0.1567723603339241
75,18,5,2,0.1,0.25,0.77,0.51875,0.8788750000000001,0.77,0.5460829493087558,0.77,0.5076000856347677,0.8167287518732604,0.05878963512522154
72,15,4,9,0.1,0.25,0.81,0.6611842105263157,0.8729605263157895,0.81,0.7599469496021221,0.81,0.6849610346542861,0.831832200298458,0.4093865842957829
66,23,10,1,0.1,0.25,0.67,0.4550438596491228,0.7774780701754387,0.67,0.41624106230847807,0.67,0.4285714285714286,0.7182857142857144,-0.12272699064998602
71,20,9,0,0.1,0.25,0.71,0.44375,0.807625,0.71,0.3901098901098901,0.71,0.4152046783625731,0.755672514619883,-0.15724272550828777
70,15,12,3,0.1,0.25,0.73,0.5101626016260162,0.750609756097561,0.73,0.5117647058823529,0.73,0.5100707675557975,0.7398475775721285,0.02186870084203477
72,17,10,1,0.1,0.25,0.73,0.46680216802168023,0.7875745257452574,0.73,0.44994892747701737,0.73,0.455535390199637,0.757059891107078,-0.08152513958166956
68,17,12,3,0.1,0.25,0.71,0.5,0.745,0.71,0.5,0.71,0.49783549783549785,0.7263203463203464,0.0
78,13,4,5,0.1,0.25,0.83,0.6144986449864498,0.890609756097561,0.83,0.7063492063492063,0.83,0.6360522372083066,0.8539113680154142,0.3074196123933115
71,18,9,2,0.1,0.25,0.73,0.49374999999999997,0.8008749999999999,0.73,0.48978549540347294,0.73,0.4846344722275243,0.7620041992746707,-0.01598006930251483
66,17,10,7,0.1,0.25,0.73,0.5800438596491229,0.7703728070175438,0.73,0.6034727143869596,0.73,0.5858260469397147,0.74710538426139,0.18201489420268402
