tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,recall_micro,recall_macro,f1_weighted,f1_macro,matthew
220,50,22,9,0.1,0.25,0.760797342192691,0.5308166409861325,0.760797342192691,0.5525686977299881,0.7914659468438537,0.5296875,0.08049821575795481
213,54,26,8,0.1,0.25,0.7342192691029901,0.5101228235929276,0.7342192691029901,0.5165234633179114,0.7656253419650789,0.5042819499341238,0.02586612489813086
220,55,25,1,0.1,0.25,0.7342192691029901,0.45790816326530615,0.7342192691029901,0.41923076923076924,0.775170943633791,0.43527204502814265,-0.11661432630213622
214,51,27,9,0.1,0.25,0.7408637873754153,0.5189834024896265,0.7408637873754153,0.5287735849056604,0.7671102911244468,0.5166749011857708,0.04674272321264966
209,56,28,8,0.1,0.25,0.7209302325581395,0.5034282700421941,0.7209302325581395,0.5054507337526206,0.7522171778004262,0.4963346613545817,0.008645597083391106
218,51,13,19,0.1,0.25,0.7873754152823921,0.6075757575757575,0.7873754152823921,0.7020794609665427,0.8189022213536578,0.6222745098039215,0.29488201779000744
214,56,28,3,0.1,0.25,0.7209302325581395,0.46757248914413785,0.7209302325581395,0.4446833930704899,0.7567102713178295,0.4513020833333334,-0.08470607703621152
210,48,24,19,0.1,0.25,0.760797342192691,0.5905089934940682,0.760797342192691,0.627906976744186,0.7810579664238201,0.5995565410199556,0.21519044333785325
215,58,26,2,0.1,0.25,0.7209302325581395,0.46272475795297374,0.7209302325581395,0.42948717948717946,0.7629831936229547,0.4410152104704634,-0.10253550510986727
222,56,14,9,0.1,0.25,0.7674418604651163,0.5395697522816167,0.7674418604651163,0.5949327494526119,0.813437286629758,0.5341793420587195,0.12258002087212472
221,45,23,12,0.1,0.25,0.7740863787375415,0.5581320103537533,0.7740863787375415,0.5868421052631578,0.7962251432423322,0.5637681159420289,0.14210286643554554
218,50,20,13,0.1,0.25,0.7674418604651163,0.5611577964519141,0.7674418604651163,0.6036861148801447,0.7968850537733246,0.5662467061923583,0.1592634836832307
218,48,26,9,0.1,0.25,0.7541528239202658,0.5256686798964625,0.7541528239202658,0.5383458646616541,0.7782450088225381,0.5252770673486786,0.06274672024426686
215,55,27,4,0.1,0.25,0.7275747508305648,0.47811318111780365,0.7275747508305648,0.4626642771804062,0.7625028839055003,0.46436631944444445,-0.05717202823718381
218,60,22,1,0.1,0.25,0.7275747508305648,0.4623633879781421,0.7275747508305648,0.4138254613700344,0.7792023157471663,0.4327541827541828,-0.11390026648921632
220,52,18,11,0.1,0.25,0.7674418604651163,0.5494864612511672,0.7674418604651163,0.5940669371196754,0.8026626221772836,0.5509377664109122,0.13645570473657442
222,52,20,7,0.1,0.25,0.760797342192691,0.5179997198487183,0.760797342192691,0.5347391186807245,0.7978830255736692,0.5116279069767442,0.050011774775323384
215,53,25,8,0.1,0.25,0.7408637873754153,0.51349043715847,0.7408637873754153,0.5223315241971959,0.7723169932803426,0.5083347294354162,0.03471380266321288
216,53,27,5,0.1,0.25,0.7342192691029901,0.4875478927203065,0.7342192691029901,0.47961198884758366,0.7658614802510151,0.4774305555555556,-0.031866829279956654
214,58,24,5,0.1,0.25,0.7275747508305648,0.48926237161531283,0.7275747508305648,0.4795892494929006,0.7688333574076749,0.47395566922421145,-0.02960831329189822
216,53,25,7,0.1,0.25,0.7408637873754153,0.5064661134163209,0.7408637873754153,0.5108619888475836,0.7731840157701099,0.499616368286445,0.016761247186923584
220,57,21,3,0.1,0.25,0.7408637873754153,0.48143153526970955,0.7408637873754153,0.4596119133574007,0.7873882425377442,0.4604247104247104,-0.05477023871947318
219,52,22,8,0.1,0.25,0.7541528239202658,0.5210235131396957,0.7541528239202658,0.5373923739237393,0.7879247992801772,0.5166232638888889,0.05607562980511756
218,60,18,5,0.1,0.25,0.7408637873754153,0.5003259452411994,0.7408637873754153,0.5007819831091649,0.7921158336731589,0.48094269543685886,0.0010097201060306814
210,63,25,3,0.1,0.25,0.707641196013289,0.46953578336557056,0.707641196013289,0.4381868131868132,0.7558003171424451,0.44530072038867474,-0.08678917706583875
209,55,31,6,0.1,0.25,0.7142857142857143,0.48459699453551913,0.7142857142857143,0.4769144144144144,0.7424684159378037,0.47590702947845803,-0.03771405048124721
214,59,21,7,0.1,0.25,0.7342192691029901,0.5083494519664732,0.7342192691029901,0.5169413919413919,0.7780002883113138,0.495727927626068,0.02378666334397062
218,54,24,5,0.1,0.25,0.7408637873754153,0.49278610449642807,0.7408637873754153,0.4869421906693712,0.7774723918738033,0.4809426954368588,-0.019411097034090857
217,48,26,10,0.1,0.25,0.7541528239202658,0.5327089541648928,0.7541528239202658,0.5483228511530398,0.7775987118384077,0.533548333054113,0.07951326740819345
207,55,31,8,0.1,0.25,0.7142857142857143,0.49836601307189543,0.7142857142857143,0.49760227050303385,0.7410420168067227,0.4924313725490196,-0.003958716284440414
213,51,31,6,0.1,0.25,0.7275747508305648,0.489106988783434,0.7275747508305648,0.48449017199017197,0.751193458561371,0.4831211258167196,-0.025996055891466776
216,54,22,9,0.1,0.25,0.7475083056478405,0.5252100840336135,0.7475083056478405,0.5451612903225806,0.7825331210144996,0.5209415312447646,0.06748392176211077
219,50,32,0,0.1,0.25,0.7275747508305648,0.4362549800796813,0.7275747508305648,0.4070631970260223,0.7527600306670073,0.4211538461538461,-0.15393840790273158
209,59,21,12,0.1,0.25,0.7342192691029901,0.5388548683404777,0.7342192691029901,0.5717435549525102,0.7726351354818712,0.5350633302440532,0.10559519651873575
218,60,12,11,0.1,0.25,0.760797342192691,0.5513778322106552,0.760797342192691,0.6312167657178605,0.8105694482400486,0.5461551348634612,0.16421489545442697
213,58,28,2,0.1,0.25,0.7142857142857143,0.4585753803596127,0.7142857142857143,0.4263222632226322,0.7535342261904763,0.4382378472222222,-0.11049112583310992
219,53,25,4,0.1,0.25,0.7408637873754153,0.4838582111015243,0.7408637873754153,0.47153904665314406,0.7760179247469676,0.4709302325581396,-0.042867736155496466
212,58,26,5,0.1,0.25,0.7209302325581395,0.48506069094304394,0.7209302325581395,0.47323775388291517,0.7596418705949733,0.4705143240073715,-0.0399904721553249
224,55,21,1,0.1,0.25,0.7475083056478405,0.4660714285714286,0.7475083056478405,0.4241609644835451,0.7943470222895042,0.4403014288510472,-0.10145166600098797
214,52,32,3,0.1,0.25,0.7209302325581395,0.4622320768662232,0.7209302325581395,0.44511278195488724,0.7464874031007752,0.4513020833333333,-0.09105989747753214
218,56,24,3,0.1,0.25,0.7342192691029901,0.4758369519540552,0.7342192691029901,0.4533657745336578,0.7754255839707436,0.45736434108527135,-0.06713642917309949
214,52,24,11,0.1,0.25,0.7475083056478405,0.5368814192343604,0.7475083056478405,0.5593984962406016,0.7765648895217002,0.5368480725623583,0.09360984652781362
