tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_weighted,precision_macro,recall_micro,recall_weighted,recall_macro,f1_weighted,f1_macro,matthew
438,98,39,25,0.1,0.25,0.7716666666666666,0.8419737178503861,0.5607455131155086,0.7716666666666666,0.7716666666666666,0.6038945895522387,0.8010377745282803,0.5660689116353712,0.15888524352218358
427,113,50,10,0.1,0.25,0.7283333333333334,0.8137904586593036,0.4882395050365598,0.7283333333333334,0.7283333333333334,0.4787037037037037,0.7666811741380144,0.4745071489594919,-0.03165153932007243
435,107,42,16,0.1,0.25,0.7516666666666667,0.8363690750115049,0.5210154931737997,0.7516666666666667,0.7516666666666667,0.5392225473978878,0.7883365593321733,0.515286897022864,0.05742059481055013
429,113,48,10,0.1,0.25,0.7316666666666667,0.8202909444188781,0.49033594109526,0.7316666666666667,0.7316666666666667,0.4819633541162998,0.7712898392783883,0.4762496001387993,-0.026405091044267578
433,115,44,8,0.1,0.25,0.735,0.8347214126229312,0.4863987319118474,0.735,0.735,0.47199606962380686,0.7795790940766552,0.46815331010452965,-0.03903275365989761
419,99,58,24,0.1,0.25,0.7383333333333333,0.7850244584206848,0.53676432990745,0.7383333333333333,0.7383333333333333,0.5507816178547886,0.7591088777219429,0.5381786983698983,0.08641648342874181
420,122,57,1,0.1,0.25,0.7016666666666667,0.7961737485299383,0.44431661297745056,0.7016666666666667,0.7016666666666667,0.39607456419391784,0.7457197591977114,0.4176936548127024,-0.15214361982649413
446,112,31,11,0.1,0.25,0.7616666666666667,0.875819911029299,0.5122206882446183,0.7616666666666667,0.7616666666666667,0.5305939580133129,0.810840579710145,0.4975845410628019,0.03867191347992173
431,103,46,20,0.1,0.25,0.7516666666666667,0.822058086618602,0.5330827836580252,0.7516666666666667,0.7516666666666667,0.5550732039496085,0.7821132620539148,0.5321306894007191,0.08536919565321435
435,119,42,4,0.1,0.25,0.7316666666666667,0.8445267679091886,0.4722350053689216,0.7316666666666667,0.7316666666666666,0.43607753884790457,0.7827756510693166,0.4455891046206647,-0.08425691166173245
438,112,39,11,0.1,0.25,0.7483333333333333,0.8491716520938795,0.5038349440098174,0.7483333333333333,0.7483333333333333,0.5081818181818182,0.7924862995836873,0.4900687225264674,0.011203002209368557
435,105,42,18,0.1,0.25,0.755,0.8353888633225954,0.5291455744746126,0.755,0.755,0.5527777777777778,0.7895836355723197,0.5260892693070265,0.07844077135844037
434,108,43,15,0.1,0.25,0.7483333333333333,0.8336893865794004,0.515902234494043,0.7483333333333333,0.7483333333333333,0.5296793485176231,0.785495439323209,0.5087806808755198,0.04344964716808051
432,112,45,11,0.1,0.25,0.7383333333333333,0.8294789589405328,0.49754563583371686,0.7383333333333333,0.7383333333333333,0.49527310924369744,0.7787189322185682,0.48456710750222964,-0.006812198262001502
431,105,46,18,0.1,0.25,0.7483333333333333,0.822793543658707,0.5249527023572123,0.7483333333333333,0.7483333333333333,0.5426772388059702,0.7807058682756957,0.5217255887367959,0.06526599228857373
436,112,41,11,0.1,0.25,0.745,0.8425794685619812,0.5017385079511172,0.745,0.745,0.5035794497473329,0.7878968641114982,0.48822299651567946,0.004989148964047063
438,118,39,5,0.1,0.25,0.7383333333333333,0.8538824973155391,0.47944470010737844,0.7383333333333333,0.7383333333333333,0.45070307390451275,0.7902189039153058,0.4539478641941673,-0.06366515843621666
437,117,40,6,0.1,0.25,0.7383333333333333,0.8496447989637129,0.48246152272843484,0.7383333333333333,0.7383333333333333,0.45962172343431174,0.7881725293036195,0.4593632883567973,-0.05322305837932639
419,103,58,20,0.1,0.25,0.7316666666666667,0.7853520478601013,0.5205041673058239,0.7316666666666667,0.7316666666666667,0.5295461243737105,0.7556604365559588,0.5189219069816084,0.04922676822206577
431,101,46,22,0.1,0.25,0.755,0.8214310306625079,0.5412128649588382,0.755,0.755,0.5668398938522777,0.7835974657402747,0.5423388456768663,0.10496977696836375
427,111,50,12,0.1,0.25,0.7316666666666667,0.8127577508479488,0.49636958633737277,0.7316666666666667,0.7316666666666666,0.49361434224727185,0.7678421870146007,0.4855545200372786,-0.00962965817677149
437,107,40,16,0.1,0.25,0.755,0.8427768403470198,0.5231119292324998,0.755,0.755,0.5445115546218487,0.792813267746048,0.517397228043489,0.06414820030051414
428,106,49,17,0.1,0.25,0.7416666666666667,0.8137776755126042,0.5177430076187555,0.7416666666666667,0.7416666666666667,0.5295369424582907,0.7733392994520591,0.5132903144772581,0.04578533368109024
431,121,46,2,0.1,0.25,0.7216666666666667,0.8325796390039372,0.45991205195070817,0.7216666666666667,0.7216666666666667,0.411231884057971,0.7725613353110669,0.43054916202069804,-0.11930685848378661
438,118,39,5,0.1,0.25,0.7383333333333333,0.8538824973155391,0.47944470010737844,0.7383333333333333,0.7383333333333333,0.45070307390451275,0.7902189039153058,0.4539478641941673,-0.06366515843621666
425,95,52,28,0.1,0.25,0.755,0.802539585144279,0.5593138006851767,0.755,0.755,0.5836538461538461,0.7756649258119185,0.5642098709922871,0.14088048207353157
443,95,34,28,0.1,0.25,0.785,0.8562763545874452,0.5781817252134785,0.785,0.785,0.6375164887876245,0.813985354812941,0.5878045533217946,0.20737672327160014
427,105,50,18,0.1,0.25,0.7416666666666667,0.8103100339179492,0.5207598302398118,0.7416666666666667,0.7416666666666667,0.5336687306501549,0.7718204570730788,0.5174321161898932,0.05287559485006908
444,108,33,15,0.1,0.25,0.765,0.8661082988188373,0.526384414787544,0.765,0.765,0.5584239130434783,0.8079709477776074,0.5192061787120863,0.07852339155310445
426,104,51,19,0.1,0.25,0.7416666666666667,0.8069105691056911,0.5237766528608683,0.7416666666666667,0.7416666666666667,0.5376010781671159,0.7703390600854468,0.5214843247526383,0.059800594738644075
434,112,43,11,0.1,0.25,0.7416666666666667,0.8360152375108657,0.49964207189241705,0.7416666666666667,0.7416666666666667,0.49928774928774927,0.7833076527991784,0.48638931689779147,-0.0010098208743346806
431,97,46,26,0.1,0.25,0.7616666666666667,0.8205021220023522,0.5574730275604642,0.7616666666666667,0.7616666666666667,0.5886994949494949,0.7867860696517412,0.5621890547263682,0.14279815850117375
427,115,50,8,0.1,0.25,0.725,0.8149315675546692,0.4801094237357468,0.725,0.725,0.4628769563557704,0.7656075992604601,0.46323716784411106,-0.054346986329206814
429,117,48,6,0.1,0.25,0.725,0.8228179168584139,0.474075778493634,0.725,0.725,0.4484126984126984,0.7693275013668672,0.4532531437944233,-0.07313988332681187
421,103,56,20,0.1,0.25,0.735,0.7913998397845613,0.5226006033645242,0.735,0.735,0.5332965046203294,0.7600726911279675,0.5210819331422347,0.05486423586815417
431,113,46,10,0.1,0.25,0.735,0.8268193826592354,0.4924323771539602,0.735,0.735,0.4854254201680672,0.7759000651130724,0.47800108339397784,-0.02100427797450463
428,110,49,13,0.1,0.25,0.735,0.8154776635816673,0.5014828450171294,0.735,0.735,0.5026082264060439,0.7707261350019972,0.49194514711756093,0.003933240663751736
