tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,recall_micro,recall_macro,f1_weighted,f1_macro,matthew
220,51,21,9,0.1,0.25,0.760797342192691,0.5314315352697095,0.760797342192691,0.5559040590405904,0.793656561461794,0.5296875,0.08383675574482213
213,54,26,8,0.1,0.25,0.7342192691029901,0.5101228235929276,0.7342192691029901,0.5165234633179114,0.7656253419650789,0.5042819499341238,0.02586612489813086
220,55,25,1,0.1,0.25,0.7342192691029901,0.45790816326530615,0.7342192691029901,0.41923076923076924,0.775170943633791,0.43527204502814265,-0.11661432630213622
214,55,23,9,0.1,0.25,0.7408637873754153,0.5217892932489452,0.7408637873754153,0.5383945167286246,0.7758591257074572,0.5166749011857708,0.05784770986483493
209,56,28,8,0.1,0.25,0.7209302325581395,0.5034282700421941,0.7209302325581395,0.5054507337526206,0.7522171778004262,0.4963346613545817,0.008645597083391106
218,41,23,19,0.1,0.25,0.7873754152823921,0.6106154910096819,0.7873754152823921,0.6470398970398971,0.8023091655266759,0.6222745098039215,0.2550677589118725
214,57,27,3,0.1,0.25,0.7209302325581395,0.46898340248962656,0.7209302325581395,0.44483394833948336,0.759265988372093,0.4513020833333333,-0.08272999989340533
210,45,27,19,0.1,0.25,0.760797342192691,0.5914754746835442,0.760797342192691,0.6182864450127877,0.7759928103660377,0.5995565410199556,0.20804142574183362
215,56,28,2,0.1,0.25,0.7209302325581395,0.45962821058606496,0.7209302325581395,0.43001230012300123,0.7577265734898527,0.4410152104704633,-0.10631140448700468
222,59,11,9,0.1,0.25,0.7674418604651163,0.5425713203736431,0.7674418604651163,0.6200177935943061,0.8200080617961353,0.5341793420587195,0.1429589583291787
221,44,24,12,0.1,0.25,0.7740863787375415,0.5581632653061225,0.7740863787375415,0.5836477987421383,0.7942125282873513,0.5637681159420289,0.13950238866072695
218,49,21,13,0.1,0.25,0.7674418604651163,0.560905655284114,0.7674418604651163,0.5994161709627671,0.7949221742194442,0.5662467061923584,0.15562785147042069
218,51,23,9,0.1,0.25,0.7541528239202658,0.5272821576763486,0.7541528239202658,0.5458294609665427,0.784815604704976,0.5252770673486786,0.07071991460151181
